n,c0,c1,c2,c3,c4
2,2.0,2.0,2.0,2.0,2.0
4,6.3075,6.3075,13.514,24.0,24.0
6,12.2,26.4605,43.664,63.6235,90.0
8,19.362,42.4895,101.782,175.585,224.0
10,27.4195,100.2055,195.7255,308.2875,450.0
12,36.752,133.9835,334.4595,584.22,792.0
14,47.1175,247.444,526.4305,863.5445,1274.0
16,58.415,305.4185,781.03,1375.5625,1920.0
18,70.1175,491.2645,1102.795,1854.0935,2754.0
20,82.753,580.047,1505.108,2675.6665,3800.0
22,96.4685,859.1825,1997.0175,3403.3025,5082.0
24,110.8795,982.766,2583.258,4613.081,6624.0
26,124.0735,1366.7125,3268.6455,5637.6625,8450.0
28,139.903,1533.576,4071.101,7302.499,10584.0
30,156.934,2049.7065,4993.3075,8682.1319999,13050.0
32,171.9505,2259.619,6045.491,10876.6485,15872.0
