n,c0,c1,c2,c3,c4
2,2.0,2.0,2.0,2.0,2.0
4,6.3255,6.3255,13.539,24.0,24.0
6,12.3335,26.583,43.766,63.674,90.0
8,19.644,42.7445,102.0325,175.6535,224.0
10,27.9125,100.6825,196.2,308.4695,450.0
12,37.409,134.582,335.08,584.4725,792.0
14,47.9465,248.3,527.329,864.044,1274.0
16,59.3975,306.372,782.2465,1376.1465,1920.0
18,71.339,492.5885,1103.9699998,1854.9235,2754.0
20,84.2085,581.6324999000001,1506.7234999,2676.6835,3800.0
22,98.1295,860.9615,1998.8605,3404.6059998,5082.0
24,112.4465,984.855,2585.3020001,4614.3645,6624.0
26,126.1205,1368.8885001,3271.3934999000003,5639.8654996,8450.0
28,141.8495,1535.9095002,4074.358,7304.651,10584.0
30,158.9825,2052.8240001,4996.825,8684.4314998,13050.0
32,174.262,2263.0199999,6049.578,10879.3734998,15872.0
