n,c0,c1,c2,c3,c4
2,0.00064,0.0008399999999999999,0.0008,0.0009400000000000001,0.00064
4,0.00152,0.0015400000000000001,0.00149,0.00136,0.0014199999999999998
6,0.00283,0.00294,0.003,0.00304,0.00246
8,0.0048200000000000005,0.00881,0.00538,0.004730000000000001,0.00442
10,0.008960000000000001,0.05702,0.018170000000000002,0.009779999999999999,0.0076100000000000004
12,0.018949999999999998,0.29875,0.12510000000000002,0.01875,0.01774
14,0.02496,1.12523,0.52667,0.02548,0.02248
16,0.017550899999999998,3.8326554,2.0478093,0.0176768,0.014180499999999999
18,0.0274594,10.623890300000001,5.728153900000001,0.1206692,0.021596499999999998
20,0.030181799999999998,25.3693917,15.7477031,0.1391467,0.023454799999999998
22,0.035628499999999994,47.2372503,31.7877958,1.1348445,0.0259117
24,0.046131899999999997,68.9811261,47.830141499999996,1.5781805999999998,0.031612299999999996
26,0.0614556,128.0575945,82.85057760000001,6.7139996,0.038688400000000005
28,0.09641200000000001,244.06623430000002,152.180017,8.6873439,0.0463216
30,0.1576907,440.2187806,279.98927990000004,22.966171600000003,0.0546999
32,0.2684051,671.7380939,581.7521709,25.390781599999997,0.0691527
