n,seed,c_setting,c,solvable,cost,odd,oddagents,time
stable,2,0,c0,1,1,2.0000,0,0,0.00
stable,2,0,c1,1,1,2.0000,0,0,0.00
stable,2,0,c2,1,1,2.0000,0,0,0.00
stable,2,0,c3,1,1,2.0000,0,0,0.00
stable,2,0,c4,1,1,2.0000,0,0,0.00
stable,2,1,c0,1,1,2.0000,0,0,0.00
stable,2,1,c1,1,1,2.0000,0,0,0.00
stable,2,1,c2,1,1,2.0000,0,0,0.00
stable,2,1,c3,1,1,2.0000,0,0,0.00
stable,2,1,c4,1,1,2.0000,0,0,0.00
stable,2,2,c0,1,1,2.0000,0,0,0.00
stable,2,2,c1,1,1,2.0000,0,0,0.00
stable,2,2,c2,1,1,2.0000,0,0,0.00
stable,2,2,c3,1,1,2.0000,0,0,0.02
stable,2,2,c4,1,1,2.0000,0,0,0.00
stable,2,3,c0,1,1,2.0000,0,0,0.00
stable,2,3,c1,1,1,2.0000,0,0,0.00
stable,2,3,c2,1,1,2.0000,0,0,0.02
stable,2,3,c3,1,1,2.0000,0,0,0.00
stable,2,3,c4,1,1,2.0000,0,0,0.00
stable,2,4,c0,1,1,2.0000,0,0,0.00
stable,2,4,c1,1,1,2.0000,0,0,0.00
stable,2,4,c2,1,1,2.0000,0,0,0.00
stable,2,4,c3,1,1,2.0000,0,0,0.00
stable,2,4,c4,1,1,2.0000,0,0,0.00
stable,2,5,c0,1,1,2.0000,0,0,0.00
stable,2,5,c1,1,1,2.0000,0,0,0.00
stable,2,5,c2,1,1,2.0000,0,0,0.00
stable,2,5,c3,1,1,2.0000,0,0,0.00
stable,2,5,c4,1,1,2.0000,0,0,0.00
stable,2,6,c0,1,1,2.0000,0,0,0.00
stable,2,6,c1,1,1,2.0000,0,0,0.00
stable,2,6,c2,1,1,2.0000,0,0,0.00
stable,2,6,c3,1,1,2.0000,0,0,0.00
stable,2,6,c4,1,1,2.0000,0,0,0.00
stable,2,7,c0,1,1,2.0000,0,0,0.00
stable,2,7,c1,1,1,2.0000,0,0,0.00
stable,2,7,c2,1,1,2.0000,0,0,0.00
stable,2,7,c3,1,1,2.0000,0,0,0.00
stable,2,7,c4,1,1,2.0000,0,0,0.00
stable,2,8,c0,1,1,2.0000,0,0,0.00
stable,2,8,c1,1,1,2.0000,0,0,0.00
stable,2,8,c2,1,1,2.0000,0,0,0.00
stable,2,8,c3,1,1,2.0000,0,0,0.00
stable,2,8,c4,1,1,2.0000,0,0,0.00
stable,2,9,c0,1,1,2.0000,0,0,0.00
stable,2,9,c1,1,1,2.0000,0,0,0.00
stable,2,9,c2,1,1,2.0000,0,0,0.00
stable,2,9,c3,1,1,2.0000,0,0,0.00
stable,2,9,c4,1,1,2.0000,0,0,0.00
stable,2,10,c0,1,1,2.0000,0,0,0.00
stable,2,10,c1,1,1,2.0000,0,0,0.00
stable,2,10,c2,1,1,2.0000,0,0,0.00
stable,2,10,c3,1,1,2.0000,0,0,0.00
stable,2,10,c4,1,1,2.0000,0,0,0.00
stable,2,11,c0,1,1,2.0000,0,0,0.00
stable,2,11,c1,1,1,2.0000,0,0,0.00
stable,2,11,c2,1,1,2.0000,0,0,0.00
stable,2,11,c3,1,1,2.0000,0,0,0.00
stable,2,11,c4,1,1,2.0000,0,0,0.02
stable,2,12,c0,1,1,2.0000,0,0,0.00
stable,2,12,c1,1,1,2.0000,0,0,0.00
stable,2,12,c2,1,1,2.0000,0,0,0.00
stable,2,12,c3,1,1,2.0000,0,0,0.00
stable,2,12,c4,1,1,2.0000,0,0,0.00
stable,2,13,c0,1,1,2.0000,0,0,0.00
stable,2,13,c1,1,1,2.0000,0,0,0.00
stable,2,13,c2,1,1,2.0000,0,0,0.00
stable,2,13,c3,1,1,2.0000,0,0,0.00
stable,2,13,c4,1,1,2.0000,0,0,0.00
stable,2,14,c0,1,1,2.0000,0,0,0.00
stable,2,14,c1,1,1,2.0000,0,0,0.00
stable,2,14,c2,1,1,2.0000,0,0,0.00
stable,2,14,c3,1,1,2.0000,0,0,0.00
stable,2,14,c4,1,1,2.0000,0,0,0.00
stable,2,15,c0,1,1,2.0000,0,0,0.00
stable,2,15,c1,1,1,2.0000,0,0,0.00
stable,2,15,c2,1,1,2.0000,0,0,0.00
stable,2,15,c3,1,1,2.0000,0,0,0.00
stable,2,15,c4,1,1,2.0000,0,0,0.00
stable,2,16,c0,1,1,2.0000,0,0,0.00
stable,2,16,c1,1,1,2.0000,0,0,0.00
stable,2,16,c2,1,1,2.0000,0,0,0.00
stable,2,16,c3,1,1,2.0000,0,0,0.00
stable,2,16,c4,1,1,2.0000,0,0,0.00
stable,2,17,c0,1,1,2.0000,0,0,0.00
stable,2,17,c1,1,1,2.0000,0,0,0.00
stable,2,17,c2,1,1,2.0000,0,0,0.00
stable,2,17,c3,1,1,2.0000,0,0,0.00
stable,2,17,c4,1,1,2.0000,0,0,0.00
stable,2,18,c0,1,1,2.0000,0,0,0.00
stable,2,18,c1,1,1,2.0000,0,0,0.00
stable,2,18,c2,1,1,2.0000,0,0,0.00
stable,2,18,c3,1,1,2.0000,0,0,0.00
stable,2,18,c4,1,1,2.0000,0,0,0.00
stable,2,19,c0,1,1,2.0000,0,0,0.02
stable,2,19,c1,1,1,2.0000,0,0,0.00
stable,2,19,c2,1,1,2.0000,0,0,0.00
stable,2,19,c3,1,1,2.0000,0,0,0.00
stable,2,19,c4,1,1,2.0000,0,0,0.00
stable,2,20,c0,1,1,2.0000,0,0,0.00
stable,2,20,c1,1,1,2.0000,0,0,0.00
stable,2,20,c2,1,1,2.0000,0,0,0.00
stable,2,20,c3,1,1,2.0000,0,0,0.00
stable,2,20,c4,1,1,2.0000,0,0,0.00
stable,2,21,c0,1,1,2.0000,0,0,0.00
stable,2,21,c1,1,1,2.0000,0,0,0.00
stable,2,21,c2,1,1,2.0000,0,0,0.00
stable,2,21,c3,1,1,2.0000,0,0,0.00
stable,2,21,c4,1,1,2.0000,0,0,0.00
stable,2,22,c0,1,1,2.0000,0,0,0.00
stable,2,22,c1,1,1,2.0000,0,0,0.00
stable,2,22,c2,1,1,2.0000,0,0,0.00
stable,2,22,c3,1,1,2.0000,0,0,0.00
stable,2,22,c4,1,1,2.0000,0,0,0.00
stable,2,23,c0,1,1,2.0000,0,0,0.00
stable,2,23,c1,1,1,2.0000,0,0,0.00
stable,2,23,c2,1,1,2.0000,0,0,0.00
stable,2,23,c3,1,1,2.0000,0,0,0.00
stable,2,23,c4,1,1,2.0000,0,0,0.00
stable,2,24,c0,1,1,2.0000,0,0,0.00
stable,2,24,c1,1,1,2.0000,0,0,0.00
stable,2,24,c2,1,1,2.0000,0,0,0.00
stable,2,24,c3,1,1,2.0000,0,0,0.00
stable,2,24,c4,1,1,2.0000,0,0,0.00
stable,2,25,c0,1,1,2.0000,0,0,0.00
stable,2,25,c1,1,1,2.0000,0,0,0.00
stable,2,25,c2,1,1,2.0000,0,0,0.00
